Id,latin,Latitude,Longitude,lines,district,Closeness Centrality,Betweenness Centrality
嫩江路,Nenjiang Road,31.3161,121.527,Line8,Yangpu,18.466666666666665,239.0
市光路,Shiguang Road,31.323611,121.5275,Line8,Yangpu,19.4625,0.0
春申路,Chunshen Road,31.1,121.381,Line5,Minhang,17.054166666666667,2079.0
银都路,Yindu Road,31.0911,121.385,Line5,Minhang,17.983333333333334,1856.0
岚皋路,Langao Road,31.258333,121.416944,Line7,Putuo,11.025,2951.0
新村路,Xincun Road,31.265833,121.4175,Line7,Putuo,11.920833333333333,2736.0
石龙路,Shilong Road,31.16,121.438,Line3,Xuhui,13.154166666666667,31.0
龙漕路,Longcao Road,31.1714,121.439,Line3,Xuhui,12.4375,148.05082578240447
三门路,Sanmen Road,31.3153,121.503,Line10,Yangpu,16.541666666666668,476.0
江湾体育场,Jiangwan Stadium,31.305833,121.509444,Line10,Yangpu,15.5625,711.0
曹杨路,Caoyang Road,31.2411,121.413,Line11-Line3-Line4,Putuo,10.141666666666667,5595.5588551799065
枫桥路,Fengqiao Road,31.243889,121.405833,Line11,Putuo,11.004166666666666,3584.0
四川北路,North Sichuan Road,31.251956,121.483984,Line10,Hongkou,10.204166666666667,1311.1431165325894
天潼路,Tiantong Road,31.245278,121.477222,Line10,Zhabei,9.9375,1383.6431165325898
世纪大道,Century Avenue,31.2311,121.522,Line2-Line4-Line6-Line9,Pudong,10.516666666666667,7546.770054945056
浦电路,Pudian Road,31.2244,121.528,Line4-Line6,Pudong,11.258333333333333,671.3083333333337
世纪公园,Century Park,31.2119,121.547,Line2,Pudong,12.179166666666667,2736.2214285714267
龙阳路,Longyang Road,31.2053,121.554,Line2-Line7-Maglev,Pudong,12.875,3032.588095238094
杨树浦路,Yangshupu Road,31.253333,121.513056,Line4,Yangpu,11.120833333333334,1890.5569597069605
浦东大道,Pudong Avenue,31.2419,121.515,Line4,Pudong,10.875,1945.0569597069607
紫藤路,Ziteng Road,31.171111,121.359444,Line10b,Minhang,16.029166666666665,239.0
航中路,Hangzhong Road,31.166944,121.349167,Line10b,Minhang,17.025,0.0
共康路,Gongkang Road,31.318889,121.443056,Line1,Zhabei,15.45,1404.0
彭浦新村,Pengpu Xincun,31.306678,121.449308,Line1,Zhabei,14.504166666666666,1631.0
宝杨路,Baoyang Road,31.3969,121.474,Line3,Baoshan,20.366666666666667,711.0
水产路,Shuichan Road,31.3839,121.483,Line3,Baoshan,19.395833333333332,944.0
常熟路,Changshu Road,31.215,121.446,Line1-Line7,Xuhui,9.6,4203.16208469893
